Provinsi;2016;2017;2018;2019;2020;2021
Aceh;79.3;86.73;85.48;88.4;86.2;89.3
Sumatera Utara;89.6;87.85;90.82;92;89.7;90.3
Sumatera Barat;83.6;84.97;80.49;87.2;87.6;89.3
Riau;86;83.84;82.03;87.2;91.4;93.2
Jambi;91.3;74.45;89.62;89.7;90.3;89.9
Sumatera Selatan;91.5;92.03;95.11;91.3;94.2;89.7
Bengkulu;87;90.43;79.53;74.9;85.4;88.4
Lampung;86.9;84.86;87;97;96.5;94.9
Kepulauan  Bangka Belitung;84;81.81;87.16;89.1;89.3;86
Kepulauan Riau;79.2;86.24;89.4;86.1;85.6;86.1
DKI Jakarta;79.7;78.46;81.15;81;81.4;79.3
Jawa Barat;88.8;89.3;84.82;84.9;75.8;82.4
Jawa Tengah;76.9;82.01;82.68;83.8;80.4;86.5
DI Yogyakarta;82.3;84.34;85.07;82.1;85.3;87.9
Jawa Timur;88;90.27;86.99;88.5;86.3;89.2
Banten;90.4;90.08;90.29;90.8;81.7;90.1
Bali;76.6;88.23;88.7;88.7;88;83.4
Nusa Tenggara Barat;90.5;93.82;88.59;93.5;88.6;90.3
Nusa Tenggara Timur;90.4;82.99;71.81;82.8;89.8;88.4
Kalimantan Barat;89.7;78.14;79.51;86.6;68;80.4
Kalimantan Tengah;82.1;84.83;84.52;82.8;84.2;83.7
Kalimantan Selatan;94.2;90.85;91.93;83.7;79.7;83.6
Kalimantan Timur;85.2;91.13;92.5;93.1;89.7;82.5
Kalimantan Utara;66.8;75.06;53.85;72.5;56.8;71.7
Sulawesi Utara;89.3;84.58;77.63;82.1;81.6;90.6
Sulawesi Tengah;87.1;84.83;89.6;91.4;92.6;89
Sulawesi Selatan;87;86.13;86.97;86.5;84.3;87.3
Sulawesi Tenggara;83.2;75.62;80.88;80.7;86;89.9
Gorontalo;76.7;97.13;81.68;85;86.4;89.6
Sulawesi Barat;91.5;89.64;89.2;90.7;92.6;90.9
Maluku;64.5;76.12;68.94;58;46;87.2
Maluku Utara;72;64.04;63.79;82;74.9;79.7
Papua Barat;56.9;71.01;35.11;40.9;59.7;74
Papua;64.4;66.68;71.24;67.3;58.5;72
